polygon_id,area_ha,road_distance_m,village_distance_m,waterway_distance_m,protected_area,vulnerability_score,disturbance_score,risk_score,risk_class
0,0.3926474901457353,8472.268694468336,5592.975771395788,138.7003313134156,True,0.4192296152779271,0.00736555477863934,0.3132975850282832,Low
1,0.274853999167187,8355.884549838609,5694.516806630882,179.53392761776794,True,0.42045516115380904,0.004317546863782045,0.31238635400879555,Low
2,0.1374303916418265,7940.151346063698,7592.514577392178,2249.409452028964,True,0.3285719131048403,0.0007615927958121735,0.26466675295032627,Low
3,0.1276145499739013,7716.154635960695,7818.648073287305,2467.614574898745,True,0.32655124599572494,0.0005075994482487615,0.2635294227219869,Low
4,2.8271565580055658,7693.407987159134,7821.020561091329,2390.676812667293,True,0.3294156395111689,0.07036057127730111,0.29988810539423505,Low
5,4.30946833597964,7428.244631643682,8120.36142408153,2689.1943119781204,True,0.3250259868420693,0.1087166637406272,0.31687132529134826,Low
6,0.225788386297587,6076.873706874967,9384.998888086904,2829.7685616824065,True,0.3445861648713642,0.003047931920447866,0.27381704839590604,Low
7,2.140146565948395,4441.573981512887,10435.918323298383,4228.658063898236,True,0.35391726744507945,0.05258359670951578,0.3032504320772976,Low
8,0.3730543701990609,4350.560673701283,10212.893113448969,4179.08352178988,True,0.3666184873738826,0.006858565944382888,0.28673852665913274,Low
9,0.5497685778053778,3964.056402945636,10192.609836359174,3789.2588961576826,True,0.39498174159835553,0.011431198090499348,0.30320646984442745,Low
10,6.77391795204095,4006.344168904661,10420.660279688957,3760.448388590167,True,0.3863209628934666,0.17248641768135947,0.37940369028741305,Low
11,0.9621019656159472,3628.218711196216,10137.379905237822,3449.189526240531,True,0.4208737671132799,0.02210067922367517,0.32148722316847755,Low
12,0.1668959591950637,3696.7473636839272,9528.771377451383,3726.667469404897,True,0.43055557738206435,0.0015240397049914342,0.31603980854352787,Low
13,3.1808440725620537,3390.420369236632,10056.86283213924,3225.956409042371,True,0.4401181622694759,0.07951253998795511,0.35981535112871554,Low
14,0.1374494489032719,2079.422995875921,10938.421311336337,1137.495024864363,True,0.5242323883963672,0.0007620859188467195,0.36249723715760696,Low
15,0.147260986701632,4149.824931168081,8405.358549382117,2841.955286629581,True,0.46690572094175226,0.001015967900082587,0.33396084442091745,Low
16,1.5118885477857862,3466.110789273571,9479.748087528806,3510.855091978231,True,0.4482648814736926,0.036326880009601326,0.34229588074164696,Low
17,0.3043655873784676,1535.116364352694,9464.672037737211,3077.9097804807693,True,0.5504286452132426,0.005081184597078988,0.3777549149051608,Low
18,0.7559649607752438,2154.732161125137,9365.188414306454,2307.5733754208945,True,0.5430794994089767,0.01676670688717431,0.37992310314807554,Low
19,0.5596001748005784,2539.7303872018297,6089.739356579338,425.5089435426887,True,0.6763316465210157,0.011685599120710058,0.44400862282086295,Moderate
20,7.36318792680945,2377.8365038947536,5894.492617612965,515.9968776642743,True,0.6880836832135298,0.187734285217684,0.5379089842156068,High
21,1.8064780175862445,2807.151879286572,6801.042603877331,2859.254192449569,True,0.58167985129919,0.04394963597112497,0.41281474363515747,Low
22,0.1669067096076607,728.730475042773,10281.904632527134,371.5367246772482,True,0.6277895659748334,0.0015243178811657836,0.4146569419279996,Low
23,0.1079990124797063,569.8919564432232,10300.733930420976,418.5336342415965,True,0.6335406152210792,3.054066477145417e-08,0.416770322880872,Low
24,0.2061908033627117,31.79706961193619,8162.185382184828,4479.484452719007,True,0.6294502784491836,0.002540827602532283,0.4159955530258579,Low
25,0.1079988785169543,1009.7687800924558,7831.034805383517,2924.056476049125,True,0.6317132383906758,2.7074263317813958e-08,0.41585663273246953,Low
26,10.456338754235022,668.6824765840322,7732.7235841105,2944.8711148565408,True,0.6504866209401102,0.2677722238636953,0.5591294224019028,High
27,0.4614460764180056,659.9621804472595,4212.237274814376,531.0963981790783,True,0.8231426219786786,0.009145777384717472,0.516144199681698,Moderate
28,0.1472696841694449,1344.3104314444925,3881.8191688689462,8.985024852562551,False,0.8141700063881308,0.0010161929545445326,0.40759309967133767,Low
29,0.107997832203401,1265.2231892321147,3887.13346624101,7.169842042638661,False,0.8177765263688744,0.0,0.4088882631844372,Low
30,2.120686358271497,871.045129550129,4085.1379449945753,298.3394873855411,False,0.8229285014621799,0.05208004709458202,0.43750427427838096,Moderate
31,0.1178163460736137,566.7779882792246,4112.357443849245,486.3808039892024,True,0.8318522947568232,0.00025406249309645207,0.5160531786249598,Moderate
32,0.1178161968478635,1134.9308443604489,3797.562499197749,61.64027684357836,False,0.8254984674937487,0.00025405863175178916,0.4128762630627502,Low
33,1.0112548446393097,1210.3273923911345,3799.327652384601,69.18208182482185,False,0.8216986531152053,0.02337255225381158,0.42253560268450846,Low
34,0.5203569716568054,471.77721320653495,4015.995383030413,477.9043009425306,True,0.8396547507826002,0.01067014747908789,0.5251624491308441,High
35,0.8443540305492281,872.5166733600524,3685.000930957726,86.24123302738333,False,0.8409256245861854,0.019053850107227453,0.4299897373467064,Moderate
36,0.3141806005235683,432.4723379617128,3622.766787968873,513.4582545241118,False,0.8533443457732709,0.0053351565059015504,0.4293397511395862,Moderate
37,0.2650900689753679,566.2868182298594,3504.12718476942,460.7452241978632,False,0.8521361917902297,0.004064896770321461,0.4281005442802756,Moderate
38,0.1767273121444086,224.1617284419517,3594.8842890043347,751.0199452157112,False,0.8583150485124337,0.001778434420305679,0.4300467414663697,Moderate
39,1.7280271658922235,450.0985902145479,6507.0158494688885,4147.433080840374,True,0.6712005221323414,0.04191965269357512,0.4565600874129583,Moderate
40,0.1374545974819731,279.5661827869124,3552.9510069288417,721.0635492839967,False,0.8577800482760218,0.0007622191427498502,0.42927113370938585,Moderate
41,0.107999818363613,1108.7277313271854,3146.169879004663,631.1629857354644,False,0.8339474381065564,5.139360414599267e-08,0.41697374475008026,Low
42,11.899559660817037,985.324081601103,3404.435449167645,368.8529018190929,False,0.8378003640243681,0.3051168064005233,0.5714585852124456,High
43,0.1669100506809522,450.9689859014944,3882.646501088888,1371.9381572695663,False,0.8232475253729092,0.0015244043343114705,0.41238596485361034,Low
44,0.3829085034571703,1179.5222726269124,3106.4852881370048,682.9188149421071,False,0.8306303106156081,0.007113550119783939,0.41887193036769604,Low
45,0.1178184939454092,788.972500516791,3162.1175842175808,679.5840265311317,False,0.8473545627085841,0.00025411807112693925,0.42380434038985554,Low
46,0.2945469650701577,297.6876032293474,3436.650884590209,916.3625420884572,False,0.8559403046249552,0.004827119298053483,0.4303837119615043,Moderate
47,0.2749112624399519,506.04012136328754,3836.9367569010897,1431.1626133130949,False,0.8206860716620591,0.004319028600227481,0.4125025501311433,Low
48,0.1080002105391415,1112.7750029968988,3008.073858783146,761.864912974466,False,0.8350435044970059,6.154148332794096e-08,0.41752178301924464,Low
49,0.2847283728747791,622.286831774842,3230.0699733735755,730.5642363994508,False,0.8517933566102585,0.004573054778225981,0.42818320569424223,Moderate
50,0.1276370893038501,885.2783137212729,3018.395378582479,811.5423423353823,False,0.8442458639214818,0.0005081826728013987,0.4223770232971416,Low
51,0.2061828508712318,1000.073045348879,2966.978795898493,822.3090622103069,False,0.8402247667501248,0.0025406218249738443,0.4213826942875493,Low
52,5.665115728433576,441.6284592720317,3336.5817305125056,804.8789459642315,False,0.855080602675635,0.14379520626134884,0.4994379044684919,Moderate
53,0.1374555563780852,829.8680765137113,3004.558334100298,877.8814501320776,False,0.8456989678521443,0.0007622439550116732,0.42323060590357797,Low
54,0.3338219117847456,505.2491150951004,3250.469327076738,1138.7726889532514,False,0.8467546944956539,0.0058433923318789525,0.4262990434137664,Moderate
55,0.4418237801685414,584.7137999803674,3170.6483358324813,1177.1342344071318,False,0.844649175360616,0.008638033588526446,0.4266436044745712,Moderate
56,0.1374558600267273,1113.68670055892,2770.8726178821357,1025.6570874820843,False,0.8362578748117906,0.0007622518121815112,0.41851006331198604,Low
57,2.0520172156119774,929.4880119529272,2915.136029332959,932.6638351904325,False,0.8425533584488668,0.050303173953342,0.44642826620110443,Moderate
58,0.2160026697750469,787.4331774701907,2951.086334586716,1093.258582161871,False,0.844202524410388,0.002794718086937457,0.4234986212486627,Low
59,0.1963664163978754,723.28477385996,3013.460752749432,1182.3444437094458,False,0.8430554817982581,0.002286613138059919,0.422671047468159,Low
60,2.3465633250782254,1283.6832923833545,2731.804458417356,1038.0373436596535,False,0.8291925898329686,0.05792480792891578,0.4435586988809422,Moderate
61,0.3240047803910217,1144.8277009349315,2636.3281688076986,1218.0882045848643,False,0.8344620879683924,0.00558936561155097,0.4200257267899717,Low
62,1.6691129337892563,1313.035540367262,2557.2103380063345,1225.4396674025452,False,0.8288964190611718,0.040395196254973724,0.43464580765807276,Moderate
63,0.1767306352412398,1217.693223808868,2534.5058509272344,1349.4652244690983,False,0.8311213467207831,0.0017785204082949914,0.416449933564539,Low
64,0.5007354504378332,1488.6684734606054,2373.7229404585337,1401.7093168909148,False,0.822250987695562,0.010162423737477591,0.4162067057165198,Low
65,16.887479701891003,809.3643730060238,2933.5769049907462,1083.9794965784067,False,0.8439575747576351,0.43418352848822733,0.6390705516229312,High
66,0.1080022378898246,1040.82726874462,2709.518954508323,1442.9167721709914,False,0.8315533676744014,1.1400092634957265e-07,0.41577674083766386,Low
67,0.1178207824130977,1100.1909654273393,2654.8208319843,1497.7073441285456,False,0.8291870567456913,0.0002541772871971097,0.4147206170164442,Low
68,0.3829199424511644,226.5228565237205,3829.198809722429,2385.707214248758,True,0.8109695112192838,0.00711384611359431,0.5090416786664391,Moderate
69,13.441316202844195,678.3425467041249,3272.555443156887,1448.5975305150018,True,0.8303506356216743,0.3450110832730679,0.6876808594473711,High
70,0.1570947976122535,809.0307516556593,2848.063117631128,1658.1726656443018,False,0.8328006276652674,0.001270426217259407,0.4170355269412634,Low
71,0.1865502507728011,721.0266464118757,2887.086109835411,1722.887077740391,False,0.8341253074220808,0.0020326114078265795,0.4180789594149537,Low
72,0.4614679293156221,158.28489667171004,3760.968815410453,2366.042283773313,True,0.8168715503991473,0.009146342847242984,0.5130089466231952,Moderate
73,0.1080056376532734,1681.8042313169751,8182.61331358712,3508.721782282373,True,0.5744437436982713,2.0197273034718073e-07,0.38722197283550086,Low
74,2.277872707041186,961.6519800588886,2726.8025203672973,1593.3737214659525,False,0.8310824358728337,0.05614737909380753,0.4436149074833206,Moderate
75,0.3534622504075813,1594.8670218586124,2190.7899955701264,1606.967751813194,False,0.8181624975293258,0.0063516029900025205,0.41225705025966414,Low
76,0.1276400694188268,430.6030002678308,3047.188582257261,1949.991989180008,False,0.8371570006232026,0.0005082597858401646,0.4188326302045214,Low
77,0.1570951780874795,1129.7001312773484,2431.3769727028766,1709.0322425864726,False,0.8298802215613764,0.001270436062383196,0.4155753288118798,Low
78,0.8640211154134558,1509.9022132618893,2227.5536348126843,1651.7211109790887,False,0.8199010179313647,0.01956275284735639,0.41973188538936057,Low
79,1.5022624731990746,1333.9440816136166,7554.334016557725,3936.278762962408,True,0.6007783276541171,0.03607779704851779,0.41842806235131746,Low
80,0.1963690874635625,1620.9590304203034,2024.963255631396,1829.0187498474968,False,0.8168963655464708,0.0022866822541824463,0.40959152390032666,Low
81,0.7462238253571828,1749.4031342755077,7968.323059743042,3751.189383852883,True,0.5722872390529877,0.01651464662809468,0.39440094284054117,Low
82,0.117821682354842,1271.9896223593114,2215.450444654101,1832.1488539467207,False,0.8271463303567654,0.0002542005739639486,0.4137002654653647,Low
83,0.176733089026561,770.8656566839085,2528.6092712405925,1974.7529408078724,False,0.8372347760427815,0.0017785839021011286,0.41950667997244134,Low
84,0.4712865283782383,1431.1075467764815,2104.950733493828,1844.3531229774328,False,0.8229053372176826,0.009400407544766166,0.41615287238122434,Low
85,0.1570961079595251,834.2068119592636,2467.265031290957,1974.2893688156728,False,0.8362360985571697,0.0012704601236223298,0.418753279340396,Low
86,0.1472775902914622,1368.7068335019594,2024.5281142500617,1993.5076434023144,False,0.8248287584911579,0.001016397532253236,0.41292257801170557,Low
87,0.4221977396873358,175.94367237871475,2952.1272681016526,2310.9065507676887,False,0.8434917421332766,0.00813019290711801,0.4258109675201973,Moderate
88,0.1276409150229871,763.8387270306121,2458.6129505374006,2087.8221334703107,False,0.8370827814268786,0.0005082816665752717,0.41879553154672694,Low
89,1.8949734530135691,1172.5294646588873,2152.85712205425,2009.485805370583,False,0.8295599232445934,0.0462395314939629,0.4378997273692781,Moderate
90,0.1276410915330582,905.0986219215664,2302.713849220402,2134.4737307783985,False,0.8343148831681849,0.0005082862339252098,0.41741158470105505,Low
91,0.265100510843428,1350.5650457219458,1945.6397822894223,2126.3962384059364,False,0.8250077004279257,0.004065166962640482,0.4145364336952831,Low
92,0.1276413488453334,1173.334634173794,2028.0814742919915,2224.5800697517675,False,0.828331049486597,0.0005082928921016922,0.41441967118934936,Low
93,0.4418356445131081,1259.9721636691245,1944.4681018205868,2252.2164826271032,False,0.8262695810423011,0.008638340588648808,0.4174539608154749,Low
94,33.36340613532455,45.90497712944524,3316.755912734524,2432.396754343284,True,0.8349101035562746,0.860512298919672,0.9477112012379733,High
95,0.1178238206916056,427.832045795958,2970.3627701699725,2764.521224058414,False,0.8200024469264473,0.0002542559052672824,0.4101283514158573,Low
96,0.1570985538954374,433.4702236038417,3032.322287356405,2825.287754128371,False,0.8162610830354122,0.0012705234143182583,0.4087658032248652,Low
97,0.4123817002168902,963.3971566744432,2157.601818089323,2419.573459888763,False,0.8293293135775386,0.007876194441244216,0.4186027540093914,Low
98,0.1374613727721137,375.14756874464655,3094.9915011495405,2891.586494265474,False,0.8153824309915021,0.0007623944592109078,0.4080724127253565,Low
99,0.1570978789643628,1176.4497538991095,1951.4672149595297,2447.3982951095377,False,0.825250636594572,0.0012705059498960714,0.41326057127223403,Low
100,0.1080049843525723,817.4579451707907,2304.191019878016,2532.4593388982585,False,0.8287472927923705,1.8506801268265653e-07,0.4143737389301916,Low
101,2.3957380976561304,1060.2417720332617,2076.9930907964226,2363.0407446942127,False,0.8287314166637672,0.05919724747361064,0.4439643320686889,Moderate
102,1.0800532748660254,496.8138849105873,2934.8664546479968,2820.367283196232,False,0.8165364171757574,0.025152770822076745,0.4208445939989171,Low
103,0.9524081010247284,741.8837571971125,2390.9818474386543,2567.5160566951404,False,0.8286624616567142,0.021849842137906392,0.4252561518973103,Low
104,1.0996945717668805,115.53106230164656,3507.135539635284,3208.663501224128,False,0.8066383055471008,0.025661006276468452,0.41614965591178465,Low
105,0.3731105392784788,283.99226665034223,3259.078713061333,3082.091803597437,False,0.8097652722501709,0.006860019367634156,0.40831264580890253,Low
106,0.1178238230139151,1074.059124179378,2044.863677501795,2590.6471462838645,False,0.8235931782001673,0.00025425596535903853,0.41192371708276315,Low
107,0.6087607398116996,256.3240685591839,3386.9399424134253,3233.4532505380453,False,0.8032701670331115,0.012957671032391852,0.4081139190327517,Low
108,1.6888157409461753,349.2533257992516,3163.140200991016,3032.850355846184,False,0.8109766103452765,0.040905023340157345,0.4259408168427169,Moderate
109,0.3141980197111254,759.0344422043933,2492.3633219207704,2797.445387950428,False,0.8189996554424418,0.005335607242365029,0.4121676313424034,Low
110,0.3141994790197777,252.23166414134369,3445.4870067974307,3310.0986370850974,True,0.799713081282817,0.005335645003231826,0.5025243631430244,Moderate
111,0.2160194429341528,3478.2061665307424,7427.549418434933,4528.8236414787525,True,0.4892527081317195,0.002795152106858993,0.3460239301192892,Low
112,0.4811163887988215,930.4672079984504,2293.5544866149426,2829.7213567006047,False,0.8165414859795528,0.009654763639614705,0.41309812480958374,Low
113,0.1570994396308228,865.1547700192812,2448.559417335207,2906.5839186040166,False,0.8127551561573703,0.0012705463334833388,0.4070128512454268,Low
114,0.3829297022841457,869.0255724047443,2164.066238499207,2852.0882544720284,False,0.8230805805706172,0.0071140986576689255,0.415097339614143,Low
115,3.1223544113604604,679.7562397472717,2835.857111756242,3038.327539385353,True,0.8058065435700265,0.07799906968667808,0.5419028066283522,High
116,9.190261427963724,1174.7518603333915,1687.4924868801252,2631.984549790221,False,0.8293747500904842,0.23501138386109235,0.5321930669757883,High
117,0.2552868667303707,819.1004018797545,1810.2589710474276,2914.0316210826613,False,0.8353583818665261,0.0038112304786997973,0.41958480617261296,Low
118,0.4025685832554002,725.7244302867514,2132.8327831561564,2994.8512063391518,False,0.8273905470064487,0.007622271597803835,0.41750640930212624,Low
119,0.2847420763635815,963.5068780791069,1513.6683480808476,2924.107886242812,False,0.8378721481285474,0.004573409367787628,0.4212227787481675,Low
120,0.2945623977970195,808.397094951388,1598.602430544403,3023.782203767878,False,0.8400344402006842,0.0048275186331375505,0.4224309794169109,Low
121,0.1374628630165173,602.8769070711944,2168.71828543284,3135.8203722050366,False,0.8286111910866678,0.0007624330205668836,0.41468681205361735,Low
122,0.2945631112458066,604.0053301242355,2069.8392073544146,3106.772417866516,False,0.8324554316696946,0.004827537094238685,0.41864148438196663,Low
123,0.1374626159471765,734.5659529108522,1659.2002625251434,3063.8006828112507,False,0.840592629256285,0.0007624266274351402,0.42067752794186003,Low
124,0.1374665399020325,2669.700756933065,7526.87729953623,4831.588643687606,True,0.5168716200176305,0.0007625281631427529,0.35881707409038666,Low
125,0.2061943905262076,554.888617958603,1961.5872817125612,3148.666010192656,False,0.8372530821627466,0.002540920423473717,0.4198970012931102,Low
126,0.2061964585366883,57.45502315915055,4224.567665266102,4237.696496788926,True,0.7612445494667079,0.0025409739350239803,0.4818927617008659,Moderate
127,38.75405593604639,572.0576801752537,2547.977773700619,2462.3270806723863,True,0.8341641914641662,1.0,1.0,High
128,0.5007578126635861,569.0842137389955,1885.8708614788263,3143.5162246573327,False,0.8391525547040039,0.0101630023793068,0.4246577785416553,Low
129,13.579639353801802,2278.047848471912,7855.1557499505825,4698.725984760031,True,0.5279879377638846,0.3485903138012095,0.5382891257825471,High
130,0.1669197443922277,430.2892046402464,2033.2260030103064,3276.4887883800407,False,0.8377210558723185,0.0015246551674300635,0.41962285551987427,Low
131,0.7462299026120404,418.87145816772977,1892.919030256208,3295.0150337156624,False,0.8423408166957982,0.016514803882292282,0.42942781028904525,Moderate
132,0.2356515407579103,611.7880451957983,1535.0150948850592,3315.37411291565,False,0.8442943669701085,0.00330314952721699,0.42379875824866275,Low
133,0.2160142955007211,571.9374335271224,1528.6355489226642,3374.3439676965336,False,0.8449508706977972,0.002795018912590696,0.42387294480519394,Low
134,0.667680915176308,310.6417305472761,1988.8639001878555,3392.5272544449936,False,0.8419866422862587,0.014482281258001104,0.4282344617721299,Moderate
135,0.5007628690192473,413.83662530507854,2409.194020342243,3614.0333396331,True,0.8181674567920574,0.010163133216859431,0.5141652950044584,Moderate
136,0.1571019242860563,167.96741982110285,2035.8880847204948,3537.884223979761,False,0.843677272377501,0.0012706106260750134,0.422473941501788,Low
137,0.5596761174120359,281.4351566421902,2263.740833478309,3589.150032140147,True,0.8297189654176211,0.011687564201113691,0.5207032648093675,High
138,1.4924714580649874,77.21345318627463,2015.120538667826,3626.443302633624,True,0.8464836781776078,0.035824446108875294,0.5411540621432416,High
139,0.1767400339145718,599.5904819584384,1440.9876635192124,3410.7415765283954,False,0.845591983201492,0.0017787636070529798,0.4236853734042725,Low
140,0.2258345936597245,507.0148503558544,1533.0949644708846,3493.3147694838517,False,0.8449851383110023,0.003049127575694602,0.4240171329433485,Low
141,0.2945675696942328,420.53554268564267,1636.9069246567824,3616.54913005644,False,0.8427258246153857,0.004827652460427243,0.4237767385379065,Low
142,0.8542477170434413,613.3241279971274,1492.4610415251614,3523.4085777501864,False,0.8405475204113128,0.019309857756639678,0.4299286890839762,Moderate
143,0.1276464302667203,788.616458130174,1377.7066219491533,3448.605274379481,False,0.8377916257445783,0.0005084243782515406,0.4191500250614149,Low
144,1.0408106647313782,463.21660816360486,1714.1269315222912,3747.5535335245486,True,0.8350383266870905,0.02413733452507586,0.5295878306060832,High
145,0.942623519888614,676.4772893602616,1603.8545714932293,3681.674555825284,True,0.8301284961092803,0.021596657683496504,0.5258625768963884,High
146,1.806694235594395,878.1154717363719,1408.1153590727567,3508.668814618109,False,0.8311265939414232,0.04395523079809463,0.4375409123697589,Moderate
147,0.117828227958754,785.8026487903078,1606.2059060821218,3706.617338635392,True,0.8242855605901794,0.0002543699470962461,0.5122699652686379,Moderate
148,0.127647360628458,825.5376872731814,1604.240594574963,3711.6311121834246,True,0.8223512812792753,0.0005084484521618785,0.5114298648657186,Moderate
149,9.445933819010133,355.13714685606953,3113.6774994840903,4458.32272156275,True,0.7777043431892181,0.24162712693013733,0.6096657350596777,High
150,0.1767428442469068,1057.811415709383,1491.1340687689783,3617.8493652963866,False,0.8173123785431806,0.0017788363268198305,0.40954560743500024,Low
151,0.137466988719878,1157.635829076672,1519.8163058508767,3650.0164027961,False,0.8108925405100819,0.0007625397766906158,0.40582754014338623,Low
152,0.1472866347080808,1115.1306904203077,1728.489803789456,3858.719124482195,False,0.8010971923866907,0.0010166315643140038,0.40105691197550236,Low
153,0.1178294309868555,1221.8068534501708,1708.723619093982,3837.371824213779,False,0.7972167784614408,0.00025440107648331753,0.39873558976896206,Low
154,0.1865635279448051,1257.049595722518,1749.3982074380865,3876.564958864448,False,0.7932884173120627,0.0020329549660743143,0.3976606861390685,Low
155,4.752465651290924,1385.13921082801,1724.1460620378218,3843.160038446669,True,0.7888667093102948,0.12017960037755245,0.5545231548439237,High
156,0.2749454588056857,56.17013261953505,6394.786033526075,7464.240604524418,True,0.6129353211496105,0.00431991346060941,0.40862761730511,Low
157,4.291129398370482,566.1083443530479,5792.710874190489,7114.378183307661,True,0.6167887606238269,0.10824212795330625,0.4625154442885666,Moderate
158,0.3927839878663769,469.2268102178516,5885.647119154993,7831.730263209516,True,0.6009544566410325,0.007369086774587668,0.4041617717078101,Low
159,0.235701920863675,1542.1665668956623,4157.284187382301,259.2218003369091,True,0.7898616664535887,0.0033044531557948212,0.49658305980469175,Moderate
160,0.1080192890272038,728.5939612183221,4566.065577956843,5406.815303605145,True,0.6901601033813647,5.55213774847045e-07,0.4450803292975698,Moderate
161,0.1374735692673299,2439.139683353025,2362.635236526282,5227.636017162059,False,0.6848903673703789,0.0007627100540170695,0.342826538712198,Low
162,0.1571129062115349,2502.2933672672125,2387.186333448172,5236.897065098511,False,0.680891157211664,0.0012708947928443408,0.3410810260022542,Low
163,1.2863655793203363,2625.0900725036618,2406.76612957022,5225.398543879617,False,0.6747402153824958,0.03049127918688705,0.35261574728469147,Low
164,0.2160317348727749,2790.6103032383294,2455.9407449580103,5239.084545813658,False,0.6650053992739621,0.002795470171345391,0.33390043472265374,Low
165,0.3142364904094519,379.5775333859893,4399.590907534033,6617.339996450829,True,0.6826384241568024,0.005336602704779932,0.44398751343079124,Moderate
166,0.1865980973214469,466.371374937001,5498.585107141236,476.6976350182827,True,0.7920692216853257,0.002033849478434382,0.4970515355818801,Moderate
167,0.2455095597946856,905.954674112426,2514.4077448172056,2860.167332441308,True,0.8098290700525538,0.0035582342504838897,0.5066936521515188,Moderate
168,0.1473073316442795,345.4641832113404,1439.0981194067035,1679.7152939929576,True,0.8996577368659727,0.0010171671153433766,0.5503374519906581,High
169,0.1276666148230356,423.1363871887028,1429.117803495863,1638.591497679583,True,0.8973106718576411,0.0005089466710106383,0.5489098092643259,High
170,0.2062233049621545,587.8708554443454,3077.597897905226,5293.903536579297,True,0.7476040963758643,0.0025416686093784526,0.47507288249262136,Moderate
171,0.4321285838154477,17.047734319848075,5521.09042970945,850.7846601190752,True,0.8034792717137266,0.008387162042273464,0.505933216878,Moderate
172,0.8740793676238593,200.801499750902,5720.710104983345,1026.2863956399,True,0.7840992448795394,0.019823018776248195,0.5019611318278938,Moderate
173,0.2651463897935922,597.7700146302892,2710.611363553648,4922.433664403088,True,0.7680003721935563,0.00406635411994488,0.4860333631567506,Moderate
174,0.1080277091080767,1044.7791302996088,1456.4529344018235,593.219373931294,True,0.8924452968101815,7.730906110893265e-07,0.5462230349503963,High
175,0.1767738769300718,1191.67011491212,1760.0781928217534,724.3450187773572,True,0.8725244419539131,0.0017796393241936272,0.5371520406390534,High
176,0.1276702319744367,1259.536261139471,1828.4055358598607,793.341154779155,True,0.8654397085065428,0.000509040267914917,0.5329743743872288,High
